City,district,extern,foreigner,moving,high_contact,low_contact,social_distancing,traffic_in,emphasize
Ho Chi Minh,Binh Chanh,30,30,30,30,30,100,30,100
Ho Chi Minh,Binh Tan,30,30,30,30,30,100,30,100
Ho Chi Minh,Binh Thanh,30,30,30,30,30,100,30,100
Ho Chi Minh,Can Gio,30,30,30,30,30,100,30,100
Ho Chi Minh,Cu Chi,30,30,30,30,30,100,30,100
Ho Chi Minh,Go Vap,30,30,30,30,30,100,30,100
Ho Chi Minh,Hoc Mon,30,30,30,30,30,100,30,100
Ho Chi Minh,Nha Be,30,30,30,30,30,100,30,100
Ho Chi Minh,Phu Nhuan,60,100,60,60,60,100,0,100
Ho Chi Minh,District 1,100,100,100,100,100,100,60,100
Ho Chi Minh,District 10,100,60,60,60,60,100,0,100
Ho Chi Minh,District 11,60,100,30,60,100,100,0,100
Ho Chi Minh,District 12,60,60,30,30,30,100,0,100
Ho Chi Minh,District 2,100,100,100,100,100,100,100,100
Ho Chi Minh,District 3,100,100,100,100,100,100,60,100
Ho Chi Minh,District 4,100,100,100,100,100,100,60,100
Ho Chi Minh,District 5,100,100,60,60,60,100,60,100
Ho Chi Minh,District 6,60,30,30,30,30,60,0,100
Ho Chi Minh,District 7,100,100,100,60,60,100,0,100
Ho Chi Minh,District 8,30,30,30,30,30,100,0,100
Ho Chi Minh,District 9,100,100,100,100,100,100,0,100
Ho Chi Minh,Tan Binh,100,60,30,60,30,100,30,100
Ho Chi Minh,Tan Phu,30,60,30,60,30,100,30,100
Ho Chi Minh,Thu Duc,30,30,30,30,30,100,30,100
