Ha Noi,100.00,98.22,92.78,100.00,87.63,16,376.56
Ho Chi Minh,31.18,99.19,76.91,86.58,0.00,9,313.16
Lao Cai,20.66,65.66,77.74,42.49,79.64,8,767.59
Nghe An,20.76,96.53,62.92,24.42,92.85,8,618.17
Quang Ninh,21.53,90.22,83.26,23.08,73.32,8,501.28
Khanh Hoa,19.58,99.01,73.29,23.35,76.14,8,375.89
Quang Binh,20.49,88.47,83.87,5.57,94.31,8,361.76
Quang Tri,20.39,88.42,83.80,6.78,89.10,8,245.86
Kien Giang,20.29,94.57,50.43,25.59,91.71,8,194.05
Bac Kan,19.59,66.44,100.00,1.59,93.29,8,170.37
Bac Ninh,33.28,91.93,54.46,7.74,89.94,8,143.98
Da Nang,21.67,98.41,78.20,36.25,42.71,8,129.29
Ninh Binh,25.02,93.76,73.71,5.12,85.02,8,092.61
Cao Bang,20.88,82.05,82.82,1.10,93.47,8,017.56
Ha Nam,26.00,88.11,62.60,2.18,98.51,7,982.63
Binh Dinh,19.14,98.11,54.58,13.59,92.25,7,867.42
Yen Bai,19.59,89.00,76.97,4.27,85.29,7,798.56
Tuyen Quang,19.42,91.99,72.60,5.15,86.24,7,782.15
An Giang,20.09,92.68,57.28,13.07,89.39,7,781.32
Phu Yen,19.50,87.63,73.63,4.99,87.90,7,773.46
Ben Tre,19.74,94.98,62.74,7.55,86.78,7,674.33
Hoa Binh,19.61,90.89,81.81,2.00,76.97,7,641.98
Vinh Long,19.59,91.01,60.85,4.73,94.11,7,637.92
Lang Son,19.51,75.05,63.14,13.02,90.64,7,611.17
Tra Vinh,19.68,95.72,70.64,2.60,82.92,7,608.99
Dien Bien,21.12,79.95,65.21,1.60,97.63,7,604.87
Thanh Hoa,20.22,99.02,51.73,8.11,90.36,7,578.58
Hai Phong,19.37,97.18,56.60,12.96,78.54,7,484.15
Nam Dinh,19.50,99.56,61.17,7.11,79.07,7,457.49
Ninh Thuan,19.68,87.46,71.91,4.48,79.10,7,442.71
Thai Binh,18.17,95.10,79.26,5.65,66.74,7,416.48
Ba Ria - Vung Tau,19.75,88.56,56.64,15.96,77.29,7,415.18
Dong Nai,19.51,98.50,44.09,25.88,70.10,7,406.69
Hung Yen,20.25,98.86,54.43,5.96,84.77,7,404.04
Ca Mau,16.71,96.01,52.18,3.50,96.84,7,366.16
Kon Tum,21.23,85.96,48.64,3.04,100.00,7,361.76
Thua Thien Hue,21.12,92.77,66.81,7.81,70.33,7,338.23
Bac Lieu,16.95,87.20,51.29,5.84,97.95,7,302.62
Phu Tho,10.74,91.89,57.34,8.91,95.04,7,302.59
Can Tho,20.70,94.20,61.43,22.57,54.18,7,290.54
Binh Thuan,19.60,91.50,65.39,10.15,68.80,7,241.85
Gia Lai,20.08,92.78,50.63,5.96,86.50,7,211.75
Quang Ngai,17.66,96.20,52.25,5.34,85.76,7,160.55
Lam Dong,17.95,90.36,36.89,14.58,90.63,7,113.66
Lai Chau,19.00,90.00,68.24,1.21,75.12,7,099.14
Vinh Phuc,19.93,94.65,59.95,9.79,67.05,7,091.03
Quang Nam,15.30,98.20,75.56,9.07,57.20,7,074.55
Hau Giang,18.91,83.62,48.06,2.87,96.63,7,073.58
Thai Nguyen,11.47,94.18,50.83,5.52,93.03,6,993.42
Long An,19.63,94.47,35.93,8.41,89.46,6,968.98
Dong Thap,18.91,97.33,48.50,4.42,80.11,6,926.77
Ha Tinh,0.92,87.01,57.16,14.67,92.95,6,876.14
Ha Giang,22.64,26.12,86.51,4.67,79.17,6,811.34
Soc Trang,17.83,83.43,57.90,2.97,76.95,6,724.24
Binh Duong,19.52,100.00,61.76,17.49,38.12,6,671.96
Tay Ninh,21.10,74.57,53.15,8.36,70.56,6,591.64
Hai Duong,13.20,73.06,42.64,7.98,93.40,6,521.51
Binh Phuoc,19.23,91.32,45.39,6.89,69.08,6,497.82
Tien Giang,19.57,96.00,82.63,6.94,26.69,6,455.59
Bac Giang,15.49,98.91,39.75,9.31,62.58,6,195.00
Son La,9.92,91.77,54.29,1.81,68.91,6,099.70
Dak Nong,18.82,67.59,39.14,2.40,68.25,5,610.45
Dak Lak,15.74,97.12,41.25,9.57,40.37,5,561.00
